group_id,source,method,payload_level,encryption,psnr,ssim,fsim
6,ml_b,lsb,low,encrypted,57.133828001304245,0.9982660176674026,
7,real,lsb,low,plain,57.1356720273985,0.9988411401074063,
7,real,lsb,low,encrypted,57.155346397952805,0.9988535645145016,
7,ml_a,lsb,low,plain,57.16475288054752,0.9990901481254001,
7,ml_a,lsb,low,encrypted,57.17019408700972,0.9990908816535451,
7,ml_b,lsb,low,plain,57.160378319213464,0.9986618273749799,
7,ml_b,lsb,low,encrypted,57.137516836803826,0.9986572478185216,
8,real,lsb,low,plain,57.154684736873314,0.9985927206824904,
8,real,lsb,low,encrypted,57.1456961399135,0.9985931323208689,
8,ml_a,lsb,low,plain,57.18562575180967,0.998521650022598,
8,ml_a,lsb,low,encrypted,57.22363981220008,0.9985313448980817,
8,ml_b,lsb,low,plain,57.14873431906067,0.9984063198563117,
8,ml_b,lsb,low,encrypted,57.16700816329254,0.998413559405667,
9,real,lsb,low,plain,57.12527669329216,0.9988000337973129,
9,real,lsb,low,encrypted,57.15852377511126,0.998804234824919,
9,ml_a,lsb,low,plain,57.150716885928205,0.9986772679140032,
9,ml_a,lsb,low,encrypted,57.17643996579604,0.9986771180222708,
9,ml_b,lsb,low,plain,57.16090833444709,0.9984356420832892,
9,ml_b,lsb,low,encrypted,57.139230576073814,0.9984242612600731,
10,real,lsb,low,plain,57.1759080517969,0.9997846389532492,
10,real,lsb,low,encrypted,57.167273567687715,0.9997834907725105,
10,ml_a,lsb,low,plain,57.14239618016394,0.9992590386898513,
10,ml_a,lsb,low,encrypted,57.16846808822063,0.9992677330875122,
10,ml_b,lsb,low,plain,57.19029264618627,0.9992796689647299,
10,ml_b,lsb,low,encrypted,57.15032030014428,0.9992770723950863,
11,real,lsb,low,plain,57.130537043764534,0.9991321610885265,
11,real,lsb,low,encrypted,57.14002176080089,0.9991410476431836,
11,ml_a,lsb,low,plain,57.15865621628716,0.9988049708401775,
11,ml_a,lsb,low,encrypted,57.13093182702235,0.9987955537092045,
11,ml_b,lsb,low,plain,57.172319335312,0.9988579979344462,
11,ml_b,lsb,low,encrypted,57.187758566987725,0.9988627563819746,
12,real,lsb,low,plain,57.18629214404356,0.9987862861723491,
12,real,lsb,low,encrypted,57.1456961399135,0.9987779834251514,
12,ml_a,lsb,low,plain,57.16568138455158,0.9985802383627257,
12,ml_a,lsb,low,encrypted,57.15667002260694,0.9985759105939118,
12,ml_b,lsb,low,plain,57.19696834969426,0.9986622145662425,
12,ml_b,lsb,low,encrypted,57.141472640592355,0.9986448650908919,
13,real,lsb,low,plain,57.15667002260694,0.9993910065135336,
13,real,lsb,low,encrypted,57.15905356404989,0.9993947207959305,
13,ml_a,lsb,low,plain,57.15640526540143,0.9985708255373188,
13,ml_a,lsb,low,encrypted,57.1556110906129,0.9985756580530535,
13,ml_b,lsb,low,plain,57.16355938129966,0.9991333083001396,
13,ml_b,lsb,low,encrypted,57.14371586318453,0.9991246741316037,
14,real,lsb,low,plain,57.16011333585092,0.9986145959338475,
14,real,lsb,low,encrypted,57.18629214404356,0.9986151745023538,
14,ml_a,lsb,low,plain,57.16170347859854,0.9985235015319732,
14,ml_a,lsb,low,encrypted,57.14120880821155,0.9985160138179409,
14,ml_b,lsb,low,plain,57.16554872896811,0.9983588960123806,
14,ml_b,lsb,low,encrypted,57.167273567687715,0.9983610063306093,
15,real,lsb,low,plain,57.17138941120788,0.9995603435090159,
15,real,lsb,low,encrypted,57.18336078276094,0.9995619370208674,
15,ml_a,lsb,low,plain,57.160510816957924,0.9990703818429255,
15,ml_a,lsb,low,encrypted,57.16687546717694,0.9990702629466152,
15,ml_b,lsb,low,plain,57.19670112444072,0.9987777617322136,
15,ml_b,lsb,low,encrypted,57.173515244673546,0.9987680798951811,
16,real,lsb,low,plain,57.136989668433806,0.9994262214958897,
16,real,lsb,low,encrypted,57.16143841437196,0.9994297590586396,
16,ml_a,lsb,low,plain,57.15256809858157,0.9992253075040595,
